Site,Habitat_Type,Fossitt,Area..m2.,condscore
ME,Woodland and scrub,WD4,20620.6,0.88
ME,Woodland and scrub,WD4,55962.68,0.75
ME,Woodland and scrub,WD4,53396.73,0.75
ME,Woodland and scrub,WD4,92462.1,0.43
ME,Woodland and scrub,WD4,41869.52,0.61
ME,Woodland and scrub,WD4,21225.35,0.88
ME,Woodland and scrub,WD4,2685.78,0.9
ME,Woodland and scrub,WD4,36508.79,0.9
ME,Woodland and scrub,WD4,3659.1,0.74
ME,Woodland and scrub,WD4,85961.88,0.51
ME,Woodland and scrub,WD4,25291.09,0.85
BA,Exposed rock and disturbed ground,ED3,2377,0.47
BA,Exposed rock and disturbed ground,ED3,3526,0.47
BA,Exposed rock and disturbed ground,ED3,692,0.39
BA,Exposed rock and disturbed ground,ED3,1779,0.47
BA,Exposed rock and disturbed ground,ED3,1025,0.47
BA,Exposed rock and disturbed ground,ED3HH1,6514,0.52
BA,Exposed rock and disturbed ground,ED3HH1,9776,0.52
BA,Exposed rock and disturbed ground,ED3HH1,4768,0.5
BA,Exposed rock and disturbed ground,ED3HH1,6612,0.52
BA,Exposed rock and disturbed ground,ED3HH1,6882,0.52
BA,Exposed rock and disturbed ground,ED3HH1,7721,0.5
BA,Exposed rock and disturbed ground,ED3HH1,10552,0.5
BA,Exposed rock and disturbed ground,ED3HH1,31628,0.5
BA,Exposed rock and disturbed ground,ED3HH1,12522,0.5
BA,Exposed rock and disturbed ground,ED3HH1,18437,0.5
BA,Exposed rock and disturbed ground,ED3HH1,20535,0.52
BA,Grassland and marsh,GS2,653,0.27
BA,Grassland and marsh,GS2,668,0.27
BA,Grassland and marsh,GS2,2243,0.3
BA,Grassland and marsh,GS2,4526,0.27
BA,Grassland and marsh,GS2,4094,0.27
BA,Grassland and marsh,GS2,4378,0.3
BA,Grassland and marsh,GS2,2376,0.25
BA,Grassland and marsh,GS2,2452,0.3
BA,Grassland and marsh,GS2,2094,0.3
BA,Grassland and marsh,GS2,8076,0.25
BA,Grassland and marsh,GS2,2202,0.3
BA,Grassland and marsh,GS2,16991,0.25
BA,Grassland and marsh,GS2,1764,0.27
BA,Grassland and marsh,GS2,2691,0.27
BA,Grassland and marsh,GS2,484,0.3
BA,Grassland and marsh,GS2,3850,0.27
BA,Grassland and marsh,GS2,3359,0.25
BA,Grassland and marsh,GS2,315,0.27
BA,Heath and dense bracken,HH1,348619,0.44
BA,Woodland and scrub,WD4,86065,0.41
BA,Woodland and scrub,WD4,5849,0.22
BA,Woodland and scrub,WD4,63910,0.28
BA,Woodland and scrub,WD4,52533,0.36
BA,Woodland and scrub,WD4,47913,0.27
BA,Woodland and scrub,WD4,62600,0.19
BA,Woodland and scrub,WD4,70643,0.19
BA,Woodland and scrub,WD4,77331,0.3
BA,Woodland and scrub,WD4,86748,0.36
BA,Woodland and scrub,WD4,8881,0.33
BA,Woodland and scrub,WD4,100645,0.36
BA,Woodland and scrub,WD4,103837,0.33
BA,Woodland and scrub,WD4,38550,0.47
BA,Woodland and scrub,WD4,21202,0.44
BA,Woodland and scrub,WD4,263047,0.3
BA,Woodland and scrub,WD4,247851,0.39
BA,Woodland and scrub,WD4,224153,0.41
BA,Woodland and scrub,WD4,41690,0.41
BA,Woodland and scrub,WD4,80294,0.22
BA,Woodland and scrub,WD4,38301,0.39
BA,Woodland and scrub,WD4,37553,0.33
BA,Woodland and scrub,WD4,114594,0.47
BA,Woodland and scrub,WD4,91938,0.39
BA,Woodland and scrub,WD4,154481,0.39
BA,Woodland and scrub,WD4,72623,0.41
BA,Woodland and scrub,WD4,369474,0.47
BA,Woodland and scrub,WD4,41855,0.44
BA,Woodland and scrub,WD4,134711,0.36
BA,Woodland and scrub,WD4,125177,0.39
BA,Woodland and scrub,WD4,103040,0.47
BA,Woodland and scrub,WD4,23025,0.38
BA,Woodland and scrub,WD4,21669,0.38
BA,Woodland and scrub,WD4,78788,0.36
BA,Woodland and scrub,WD4,45183,0.41
BA,Woodland and scrub,WD4,52735,0.41
BA,Woodland and scrub,WD4,19863,0.41
BA,Woodland and scrub,WD4,85412,0.38
BA,Woodland and scrub,WD4,46947,0.41
BA,Woodland and scrub,WD4,16078,0.33
BA,Woodland and scrub,WD4,5392,0.38
BA,Woodland and scrub,WD4,61091,0.41
BA,Woodland and scrub,WD4,1585,0.44
BA,Woodland and scrub,WS5,197822,0.36
BA,Woodland and scrub,WS5,94268,0.22
