Site,Habitat_Type,Fossitt,Area..m2.,condscore
AR,Woodland and scrub,WS1,37457.02258,0.44
AR,Woodland and scrub,WS1,41066.12093,0.49
AR,Woodland and scrub,WS1,43032.8918,0.49
AR,Woodland and scrub,WS1,11945.73789,0.36
AR,Peatland,PB3,6113.131035,0.08
AR,Heath and dense bracken,HH1,2881.325651,0.65
AR,Heath and dense bracken,HH1,20566.1985,0.65
AR,Exposed rock and disturbed ground,ED3,7008.700124,0.46
AR,Exposed rock and disturbed ground,ED3,5905.908303,0.38
AR,Exposed rock and disturbed ground,ED3,3327.488918,0.38
AR,Exposed rock and disturbed ground,ED3,9074.729125,0.67
AR,Exposed rock and disturbed ground,ED3,11112.78217,0.67
AR,Woodland and scrub,WS5,19718.26955,0.21
AR,Woodland and scrub,WS5,197993.5649,0.26
AR,Woodland and scrub,WS5,55226.42171,0.21
AR,Woodland and scrub,WS5,49555.92404,0.29
AR,Woodland and scrub,WS5,31471.33161,0.38
AR,Woodland and scrub,WS5,90172.87346,0.42
AR,Woodland and scrub,WS5,79261.44971,0.42
AR,Woodland and scrub,WS5,64756.87583,0.44
AR,Woodland and scrub,WS5,110514.2171,0.44
AR,Woodland and scrub,WS5,113164.7665,0.44
AR,Woodland and scrub,WS5,139275.7635,0.5
AR,Woodland and scrub,WS5,73658.13417,0.38
AR,Woodland and scrub,WS5,27034.01644,0.38
AR,Woodland and scrub,WS5,39263.65301,0.38
AR,Woodland and scrub,WS5,4763.656068,0.58
AR,Woodland and scrub,WS5,20422.9011,0.38
AR,Woodland and scrub,WS5,26605.65156,0.21
AR,Woodland and scrub,WS5,43388.48903,0.21
AR,Woodland and scrub,WS5,45346.4478,0.21
AR,Woodland and scrub,WS5,94527.08809,0.21
AR,Peatland,PB4,127828.5986,0.38
AR,Peatland,PB4,26049.95022,0.21
AR,Peatland,PB4,30640.7812,0.21
AR,Peatland,PB4,7558.074905,0.21
AR,Peatland,PB4,8289.947426,0.21
AR,Peatland,PB4,30585.22102,0.29
AR,Peatland,PB4,30151.52077,0.29
AR,Peatland,PB4,14887.53257,0.29
AR,Peatland,PB4,15324.68386,0.29
AR,Peatland,PB4,2603.518793,0.29
AR,Peatland,PB4,2502.776035,0.29
AR,Peatland,PB4,5002.15905,0.29
AR,Peatland,PB4,5528.422487,0.29
AR,Peatland,PB4,9384.522637,0.29
AR,Peatland,PB4,3927.86801,0.29
AR,Peatland,PB4,3559.294469,0.29
AR,Peatland,PB4,1995.28895,0.29
AR,Peatland,PB4,1972.513368,0.29
AR,Peatland,PB4,4961.89909,0.29
AR,Peatland,PB4,3444.717566,0.29
AR,Peatland,PB4,1746.749707,0.29
AR,Peatland,PB4,4972.895495,0.29
AR,Peatland,PB4,4409.191934,0.32
AR,Peatland,PB4,1977.394738,0.35
AR,Peatland,PB4,18856.86497,0.29
AR,Peatland,PB4,2763.398461,0.35
AR,Peatland,PB4,5646.543013,0.35
AR,Peatland,PB4,8007.459554,0.32
AR,Peatland,PB4,2379.859564,0.32
AR,Peatland,PB4,3413.697133,0.32
AR,Peatland,PB4,5159.057768,0.32
AR,Peatland,PB4,11185.49111,0.29
AR,Peatland,PB4,22337.37581,0.29
AR,Peatland,PB4,6160.567184,0.24
AR,Peatland,PB4,8865.792866,0.24
AR,Peatland,PB4,783.751386,0.36
AR,Peatland,PB4,4534.767421,0.32
AR,Peatland,PB4,2725.899179,0.32
AR,Peatland,PB4,968.149195,0.24
AR,Peatland,PB4,1835.453477,0.32
AR,Peatland,PB4,828.650144,0.35
AR,Peatland,PB4,8406.218765,0.35
AR,Peatland,PB4,6279.804367,0.35
AR,Peatland,PB4,1178.014968,0.32
AR,Peatland,PB4,761.300099,0.32
AR,Peatland,PB4,5124.921874,0.32
AR,Peatland,PB4,2238.164621,0.32
AR,Peatland,PB4,2158.880794,0.32
AR,Peatland,PB4,2199.014096,0.32
AR,Peatland,PB4,1485.236812,0.32
AR,Peatland,PB4,2195.016604,0.35
AR,Peatland,PB4,5693.569575,0.21
AR,Peatland,PB4,1448.806336,0.29
AR,Peatland,PB4,1173.440995,0.29
AR,Peatland,PB4,1177.11816,0.29
AR,Peatland,PB4,1104.012974,0.29
AR,Peatland,PB4,14950.2641,0.32
AR,Peatland,PB4,9725.369911,0.32
AR,Peatland,PB4,14409.30132,0.65
AR,Peatland,PB4,5629.411405,0.65
AR,Peatland,PB4,10350.18777,0.65
AR,Peatland,PB4,4275.694098,0.65
AR,Peatland,PB4,3540.381702,0.32
AR,Peatland,PB4,5131.969005,0.32
AR,Peatland,PB4,4354.805401,0.32
AR,Peatland,PB4,30842.77073,0.6
AR,Peatland,PB4,4601.535033,0.35
AR,Peatland,PB4,6123.972065,0.39
AR,Peatland,PB4,1642.772749,0.22
AR,Peatland,PB4,3958.794579,0.32
AR,Peatland,PB4,13710.26919,0.32
AR,Peatland,PB4,2381.540736,0.29
AR,Peatland,PB4,15086.74702,0.29
AR,Peatland,PB4,15018.57935,0.26
AR,Peatland,PB4,14858.26077,0.29
AR,Peatland,PB4,11902.30511,0.29
AR,Peatland,PB4,14790.19075,0.26
AR,Peatland,PB4,17271.86763,0.26
AR,Peatland,PB4,8808.375818,0.29
AR,Peatland,PB4,17054.75983,0.35
AR,Peatland,PB4,8335.695691,0.35
AR,Peatland,PB4,6969.327283,0.35
AR,Peatland,PB4,4826.634591,0.29
AR,Peatland,PB4,1991.904136,0.35
AR,Peatland,PB4,1811.009642,0.29
AR,Peatland,PB4,1427.602859,0.29
AR,Peatland,PB4,369.963988,0.35
AR,Peatland,PB4,1150.151414,0.35
AR,Peatland,PB4,7170.904017,0.32
AR,Peatland,PB4,7029.321462,0.32
AR,Peatland,PB4,17347.74297,0.26
AR,Peatland,PB4,71370.18958,0.32
AR,Peatland,PB4,14192.15336,0.29
AR,Peatland,PB4,8885.111762,0.26
AR,Peatland,PB4,852.142933,0.29
AR,Peatland,PB4,6941.830016,0.35
AR,Peatland,PB4,12584.57136,0.35
AR,Peatland,PB4,7626.530619,0.35
AR,Peatland,PB4,9600.337393,0.32
AR,Peatland,PB4,6722.347774,0.32
AR,Peatland,PB4,4634.696238,0.26
AR,Peatland,PB4,28821.73766,0.26
AR,Peatland,PB4,14118.31624,0.21
AR,Peatland,PB4,3180.184196,0.21
AR,Peatland,PB4,5387.497196,0.32
AR,Peatland,PB4,14502.51492,0.32
AR,Peatland,PB4,4692.420833,0.32
AR,Peatland,PB4,4483.254757,0.32
AR,Peatland,PB4,3170.161328,0.32
ME,Grassland and marsh,GS2,10670.15,0.42
ME,Grassland and marsh,GS2,41524.25,0.5
ME,Grassland and marsh,GS2,23549.58,0.49
ME,Grassland and marsh,GS2,1673.68,0.38
ME,Grassland and marsh,GS2,5979.07,0.4
ME,Grassland and marsh,GS2,14929.67,0.49
ME,Grassland and marsh,GS2,20869.58,0.49
ME,Grassland and marsh,GS2,19278.21,0.44
ME,Grassland and marsh,GS2,4255.97,0.5
ME,Grassland and marsh,GS2,10054.53,0.49
ME,Grassland and marsh,GS2,11976.97,0.42
ME,Grassland and marsh,GS2,16216.59,0.39
ME,Grassland and marsh,GS2,6176.67,0.54
ME,Grassland and marsh,GS2,1091.74,0.63
ME,Grassland and marsh,GS2,7396.85,0.57
ME,Freshwater,FL1,18114.2,0.8
ME,Freshwater,FL1,2265.03,0.67
ME,Exposed rock and disturbed ground,ED3,2930.24,0.56
ME,Exposed rock and disturbed ground,ED3,2943.44,0.56
ME,Exposed rock and disturbed ground,ED3,22326.6,0.47
ME,Exposed rock and disturbed ground,ED3,2234.95,0.56
ME,Peatland,PB4,89102.8,0.58
ME,Peatland,PB4,31613.04,0.53
ME,Peatland,PB4,9850.24,0.53
ME,Peatland,PB4,19213.32,0.56
ME,Peatland,PB4,7927.04,0.56
ME,Peatland,PB4,10242.97,0.58
ME,Peatland,PB4,3966.53,0.53
ME,Peatland,PB4,431.69,0.53
ME,Peatland,PB4,24625.2,0.53
ME,Peatland,PB4,3522.01,0.58
ME,Peatland,PB4,17562.7,0.58
ME,Peatland,PB4,33500.34,0.58
ME,Peatland,PB4,9138.89,0.67
ME,Peatland,PB4,15576.83,0.67
ME,Peatland,PB4,19896.81,0.65
ME,Peatland,PB4,7253.37,0.57
ME,Peatland,PB4,15330.36,0.65
ME,Peatland,PB4,9180.38,0.65
ME,Peatland,PB4,7562.48,0.56
ME,Peatland,PB4,6129.01,0.56
ME,Peatland,PB4,5857.42,0.56
ME,Peatland,PB4,8660,0.56
ME,Peatland,PB4,84999.79,0.81
ME,Peatland,PB4,5653.25,0.74
ME,Peatland,PB4,3123.64,0.74
ME,Peatland,PB4,10082.13,0.72
ME,Peatland,PB4,1328.93,0.72
ME,Peatland,PB4,8446.88,0.65
ME,Peatland,PB4,1521.28,0.53
ME,Peatland,PB4,4295.46,0.56
ME,Peatland,PB4,4105.7,0.56
ME,Peatland,PB4,1511.89,0.56
ME,Peatland,PB4,2432.66,0.56
ME,Peatland,PB4,468.29,0.56
ME,Peatland,PB4,9292.78,0.56
ME,Peatland,PB4,6527.4,0.58
ME,Peatland,PB4,2854.24,0.67
ME,Peatland,PB4,1173.06,0.67
ME,Peatland,PB4,5238.89,0.57
ME,Peatland,PB4,12778.85,0.65
ME,Peatland,PB4,3588.93,0.65
ME,Peatland,PB4,11343.59,0.65
ME,Peatland,PB4,26471.13,0.57
ME,Peatland,PB4,15013.03,0.65
ME,Peatland,PB4,926.52,0.65
ME,Peatland,PB4,6736.24,0.67
ME,Peatland,PB4,5527.88,0.56
ME,Peatland,PB4,63864.34,0.61
ME,Peatland,PB4,3310.84,0.61
ME,Peatland,PB4,3167.98,0.61
ME,Peatland,PB4,2531.22,0.53
ME,Peatland,PB4,4616.46,0.57
ME,Peatland,PB4,5329.35,0.57
ME,Peatland,PB4,7552.02,0.61
ME,Peatland,PB4,2561.19,0.51
ME,Peatland,PB4,3035.47,0.56
ME,Peatland,PB4,1434.56,0.56
ME,Peatland,PB4,10148.11,0.56
ME,Grassland and marsh,GS4,2064.46,0.61
ME,Grassland and marsh,GS4,980.55,0.61
ME,Grassland and marsh,GS4,1724.06,0.61
ME,Grassland and marsh,GS3,125756.99,0.46
ME,Grassland and marsh,GS3,91646.95,0.42
ME,Grassland and marsh,GS3,69943.11,0.54
ME,Grassland and marsh,GS3,134531.97,0.44
ME,Grassland and marsh,GS3,10693.83,0.72
ME,Grassland and marsh,GS3,36544.86,0.72
ME,Grassland and marsh,GS3,302776.57,0.42
ME,Peatland,PB2,342860.64,0.49
ME,Peatland,PB2,374974.03,0.56
ME,Heath and dense bracken,HH1,62648.2,0.5
ME,Heath and dense bracken,HH1,97779.44,0.46
ME,Heath and dense bracken,HH1,182913.14,0.71
ME,Heath and dense bracken,HH1,2924.28,0.54
ME,Heath and dense bracken,HH1,39316.75,0.5
ME,Heath and dense bracken,HH1,127484.34,0.58
ME,Heath and dense bracken,HH1,163600.94,0.71
ME,Heath and dense bracken,HH1,5162.81,0.58
ME,Heath and dense bracken,HH1,8314.13,0.67
ME,Heath and dense bracken,HH1,132185.41,0.79
ME,Heath and dense bracken,HH1,64964.16,0.54
ME,Heath and dense bracken,HH1,122880.87,0.54
ME,Heath and dense bracken,HH1,8844.81,0.67
ME,Heath and dense bracken,HH1,10742.74,0.58
ME,Heath and dense bracken,HH1,26866.03,0.79
ME,Heath and dense bracken,HH3,125656.96,0.5
ME,Heath and dense bracken,HH3,208820.11,0.5
ME,Heath and dense bracken,HH3,24631.89,0.58
ME,Heath and dense bracken,HH3,5534.08,0.58
ME,Heath and dense bracken,HH3,1940.25,0.54
ME,Heath and dense bracken,HH3,2290.82,0.67
ME,Heath and dense bracken,HH3,9396.83,0.58
ME,Woodland and scrub,WD4,22595.03,0.39
ME,Woodland and scrub,WD4,16015.24,0.36
ME,Woodland and scrub,WD4,10167.87,0.39
ME,Woodland and scrub,WD4,7243.81,0.74
ME,Woodland and scrub,WD4,115990.55,0.72
ME,Woodland and scrub,WD4,40616.56,0.81
ME,Woodland and scrub,WD4,48405.17,0.85
ME,Woodland and scrub,WD4,80557.95,0.75
ME,Woodland and scrub,WD4,3624.5,0.88
ME,Woodland and scrub,WD4,28853.51,0.6
ME,Woodland and scrub,WD4,21741.29,0.75
ME,Woodland and scrub,WD4,10087.35,0.88
ME,Woodland and scrub,WD4,47187.53,0.74
ME,Woodland and scrub,WD4,11035.49,0.46
ME,Woodland and scrub,WD4,71173.73,0.93
ME,Woodland and scrub,WD4,17214.87,0.88
